code,model,key,max_tokens,temp
smoked-trout,openai/davinci,null,50,0.5
sesame-soba,ai21/j1-jumbo,null,50,0.5
pistachio-croissant,openai/text-davinci-001,null,50,0.5
hazelnut-latte,openai/text-babbage-001,null,50,0.5
default,openai/text-davinci-001,null,50,0.5
