domain,example,prompt,access_code,start_date,end_date,expire_after,session_length,n,max_tokens,temperature,top_p,presence_penalty,frequency_penalty,stop,engine,condition,additional_data
summarization,na,na,826474464a6e4e629679a68120d357aa,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,9
summarization,na,na,2fa336497df54e36b7da5706757e5810,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,9
summarization,na,na,2491c2862bfb47d29f6867fd7664a82b,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,9
summarization,na,na,4184c79dae7f4187b327a13e57d66fa0,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,9
summarization,na,na,268ad7fc965a48cb9a5b94c39655963b,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,10
summarization,na,na,b9d5ae25e74d4f5cbc83786713796277,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,10
summarization,na,na,ea27e0c7aaee4da1ab964665659b3a50,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,10
summarization,na,na,219788bd4f0d45a693944f41987bf2d3,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,10
summarization,na,na,53fe10671f4e4c87b54d657d7ab90cb5,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,11
summarization,na,na,22d07f2b2cd3459ca6ff6372983290e2,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,11
summarization,na,na,114314a1f0b84653aa05fac1b4e59956,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,11
summarization,na,na,596f43adf5dd4b208ec08602a984ddce,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,11
summarization,na,na,5fd0539d18674f16b90d7fb4642f1230,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,12
summarization,na,na,a066a7c100d648f691111aa0916abd9c,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,12
summarization,na,na,6f6c9f9f5d60424cbea803c55b193420,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,12
summarization,na,na,1feea81be1f2440d990163f8bc84f497,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,ai21/j1-jumbo,both,12
summarization,na,na,0342e11c8a714393b83c15184beddeb3,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/davinci,both,13
summarization,na,na,5145530a97a34805849a94051ebf04e9,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-davinci-001,both,13
summarization,na,na,261cfe213a7a4cbbb40ff0e2f5bab099,20211012,20250101,-1,0,1,64,0.3,1,0,0,***|.,openai/text-babbage-001,both,13
